FEC,PIB
1960,
1961,3.924039329
1962,5.214355169
1963,4.991125899
1964,6.134826343
1965,5.284675941
1966,4.606225429
1967,4.624731235
1968,6.242245034
1969,6.420768869
1970,7.007978515
1971,5.245901974
1972,5.568781543
1973,4.983812847
1974,5.368717762
1975,2.88212976
1976,6.146273887
1977,4.638358398
1978,4.702806641
1979,4.227026812
1980,3.205970501
1981,3.114436689
1982,1.587621335
1983,1.551472046
1984,3.311953113
1985,3.066300698
1986,3.727532758
1987,3.755410053
1988,4.644031829
1989,3.034538257
1990,3.447942931
1991,1.530524579
1992,1.57768586
1993,1.990144148
1994,2.270711075
1995,3.928418723
1996,4.774742658
1997,4.985315239
1998,3.633542182
1999,3.250440737
2000,4.139791149
2001,3.436212049
2002,3.179589598
2003,3.86026885
2004,5.767038379
2005,5.026160499
2006,5.725771482
2007,5.664987649
2008,3.789097282
2009,-0.040930831
2010,4.255535614
2011,3.599837737
2012,3.397854591
2013,3.272892107
2014,3.296266989
2015,2.734860885
2016,3.02630422
2017,3.175400275
2018,3.127803175
2019,2.733361064
