FEC,PIB
01/01/1961,3.924039329
01/01/1962,5.214355169
01/01/1963,4.991125899
01/01/1964,6.134826343
01/01/1965,5.284675941
01/01/1966,4.606225429
01/01/1967,4.624731235
01/01/1968,6.242245034
01/01/1969,6.420768869
01/01/1970,7.007978515
01/01/1971,5.245901974
01/01/1972,5.568781543
01/01/1973,4.983812847
01/01/1974,5.368717762
01/01/1975,2.88212976
01/01/1976,6.146273887
01/01/1977,4.638358398
01/01/1978,4.702806641
01/01/1979,4.227026812
01/01/1980,3.205970501
01/01/1981,3.114436689
01/01/1982,1.587621335
01/01/1983,1.551472046
01/01/1984,3.311953113
01/01/1985,3.066300698
01/01/1986,3.727532758
01/01/1987,3.755410053
01/01/1988,4.644031829
01/01/1989,3.034538257
01/01/1990,3.447942931
01/01/1991,1.530524579
01/01/1992,1.57768586
01/01/1993,1.990144148
01/01/1994,2.270711075
01/01/1995,3.928418723
01/01/1996,4.774742658
01/01/1997,4.985315239
01/01/1998,3.633542182
01/01/1999,3.250440737
01/01/2000,4.139791149
01/01/2001,3.436212049
01/01/2002,3.179589598
01/01/2003,3.86026885
01/01/2004,5.767038379
01/01/2005,5.026160499
01/01/2006,5.725771482
01/01/2007,5.664987649
01/01/2008,3.789097282
01/01/2009,-0.040930831
01/01/2010,4.255535614
01/01/2011,3.599837737
01/01/2012,3.397854591
01/01/2013,3.272892107
01/01/2014,3.296266989
01/01/2015,2.734860885
01/01/2016,3.02630422
01/01/2017,3.175400275
01/01/2018,3.127803175
01/01/2019,2.733361064
01/01/2020,-7.1
